time,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20160101:0010,0,0,0,0,2.92,1.2,0
20160101:0110,0,0,0,0,3.08,1.12,0
20160101:0210,0,0,0,0,3.23,1.03,0
20160101:0310,0,0,0,0,3.39,0.95,0
20160101:0410,0,0,0,0,3.06,0.79,0
20160101:0510,0,0,0,0,2.73,0.62,0
20160101:0610,0,0,0,0,2.4,0.46,0
20160101:0710,0,0,0,0,2.78,0.72,0
20160101:0810,118.58,44.79,1.13,6.63,3.16,0.98,0
20160101:0910,8.35,2.77,0.11,12.98,3.55,1.24,0
20160101:1010,0,0,0,0,4.4,1.48,0
20160101:1110,0,0,0,0,5.26,1.72,0
20160101:1210,0,0,0,0,6.12,1.96,0
20160101:1310,0,0,0,0,5.93,1.81,0
20160101:1410,13.77,3.78,0.15,10.79,5.75,1.66,0
20160101:1510,7.22,0.94,0.04,3.82,5.56,1.5,0
20160101:1610,0,0,0,0,4.55,1.73,0
20160101:1710,0,0,0,0,3.55,1.95,0
20160101:1810,0,0,0,0,2.55,2.18,0
20160101:1910,0,0,0,0,2.18,2.16,0
20160101:2010,0,0,0,0,1.81,2.13,0
20160101:2110,0,0,0,0,1.44,2.11,0
20160101:2210,0,0,0,0,1.26,2.3,0
20160101:2310,0,0,0,0,1.07,2.49,0
20160102:0010,0,0,0,0,0.88,2.68,0
20160102:0110,0,0,0,0,1.3,2.9,0
20160102:0210,0,0,0,0,1.71,3.12,0
20160102:0310,0,0,0,0,2.13,3.34,0
20160102:0410,0,0,0,0,2.15,3.44,0
20160102:0510,0,0,0,0,2.17,3.54,0
20160102:0610,0,0,0,0,2.19,3.64,0
20160102:0710,0,0,0,0,2.48,3.52,0
20160102:0810,51.14,15.05,0.49,6.65,2.76,3.39,0
20160102:0910,90.75,71.73,1.83,13.02,3.05,3.27,0
20160102:1010,0,0,0,0,3,3.18,0
20160102:1110,0,0,0,0,2.96,3.09,0
20160102:1210,0,0,0,0,2.92,2.99,0
20160102:1310,21.93,7.57,0.3,16.09,3.41,2.75,0
20160102:1410,3.41,0.92,0.04,10.91,3.91,2.51,0
20160102:1510,0,0,0,0,4.4,2.28,0
20160102:1610,0,0,0,0,4.32,2.4,0
20160102:1710,0,0,0,0,4.24,2.51,0
20160102:1810,0,0,0,0,4.16,2.63,0
20160102:1910,0,0,0,0,4.14,2.82,0
20160102:2010,0,0,0,0,4.12,3,0
20160102:2110,0,0,0,0,4.1,3.19,0
20160102:2210,0,0,0,0,4,3.2,0
20160102:2310,0,0,0,0,3.89,3.21,0
20160103:0010,0,0,0,0,3.78,3.23,0
20160103:0110,0,0,0,0,3.48,2.68,0
20160103:0210,0,0,0,0,3.18,2.13,0
20160103:0310,0,0,0,0,2.89,1.59,0
20160103:0410,0,0,0,0,2.72,1.6,0
20160103:0510,0,0,0,0,2.56,1.6,0
20160103:0610,0,0,0,0,2.39,1.61,0
20160103:0710,0,0,0,0,2.61,1.76,0
20160103:0810,70.42,22.53,0.68,6.68,2.82,1.91,0
20160103:0910,116.1,49.13,1.58,13.06,3.04,2.06,0
20160103:1010,156.35,73.15,2.38,17.52,3.33,2.18,0
20160103:1110,137.9,63,2.15,19.63,3.62,2.3,0
20160103:1210,378.33,223.29,5.73,19.18,3.91,2.43,0
20160103:1310,177.26,79.96,2.45,16.21,4.05,2.1,0
